"D085";"Vocalesque";"Vocal/Airy"
"D086";"Brass Expression";"Brass"
"D087";"Fire Wave";"FastSynth"
"D088";"Mallet Clocker";"Bell/Mallet"
"D089";"Stereo Piano mf";"Keyboard"
"D090";"Sync Kronicity";"LeadSynth"
"D091";"Poinker Bass";"Bass/Synth Bass"
"D092";"AcousticGuitar 2";"Guitar/Plucked"
"D093";"Station Of Waves";"MotionSynth"
"D094";"MixFisaMaster";"Woodwind/Reed"
"D095";"Frozen Glaciers";"SE"
"D096";"AStabInTheDark";"MotionSynth"
"D097";"Pro-Stage EP";"Keyboard"
"D098";"Wild Arp";"Hit/Arpg"
"D099";"Stereo Strings";"Strings"
"D100";"Processed Kit";"Drums"
"D101";"Acid Dist Bass";"Bass/Synth Bass"
"D102";"Few Bows Here";"Strings"
"D103";"Arctic Voices";"Vocal/Airy"
"D104";"Classic E.Piano";"Keyboard"
"D105";"Mellow Movie Pad";"SlowSynth"
"D106";"AMSFeedbackLead";"LeadSynth"
"D107";"Classic F.Horn";"Brass"
"D108";"Indian Frets Gtr";"Guitar/Plucked"
"D109";"Virtual Traveler";"MotionSynth"
"D110";"Flute";"Woodwind/Reed"
"D111";"Vanishing Planet";"SE"
"D112";"Symphonic Bows";"Strings"
"D113";"Classic Piano";"Keyboard"
"D114";"Velo PowerStab";"Hit/Arpg"
"D115";"Happy Vibe Lead";"LeadSynth"
"D116";"Trumpet Section";"Brass"
"D117";"Dream Voices";"Vocal/Airy"
"D118";"Octave Brass Exp";"Brass"
"D119";"Solo Violin";"Strings"
"D120";"Santur";"Guitar/Plucked"
"D121";"Full Vox Pad";"Vocal/Airy"
"D122";"A leadload";"LeadSynth"
"D123";"L/R Piano(Knob1)";"Keyboard"
"D124";"Spanish Guitar";"Guitar/Plucked"
"D125";"Motion Ocean !";"MotionSynth"
"D126";"AltoSax1 Growl-Y";"Woodwind/Reed"
"D127";"Init.Program";"Keyboard"
